Respondent_ID,Company_Size,Role,AI_Adoption_Level,Productivity_Improvement_%,Decision_Making_Speed_%,Operational_Efficiency_%,Revenue_Growth_%,Employee_Satisfaction_Score
94,Medium,Executive,Moderate,13.1,23.9,24.3,12.7,4.87
95,Large,Consultant,High,18.7,17.7,23.4,10.1,3.41
96,Medium,Executive,Moderate,15.1,14.9,21.0,13.5,4.48
97,Medium,Manager,Low,4.1,18.6,0.1,18.2,3.69
98,Medium,IT Support,Moderate,19.0,16.7,20.4,22.3,3.87
99,Small,Developer,Moderate,11.0,20.2,14.7,22.7,2.75
100,Small,Consultant,Low,23.4,9.6,22.0,14.6,3.26
101,Small,Consultant,Low,13.1,19.9,17.5,10.8,2.62
102,Medium,Developer,Moderate,14.4,13.0,15.9,13.0,3.53
103,Medium,Executive,Low,28.5,24.3,19.8,15.7,3.87
104,Medium,Consultant,Low,34.1,13.3,15.0,15.6,2.82
105,Large,Manager,Low,21.3,13.4,15.9,21.2,5.0
106,Small,IT Support,None,12.7,21.1,12.7,26.8,3.79
107,Medium,Developer,None,12.0,18.1,6.4,10.6,3.64
108,Large,IT Support,High,8.5,33.9,19.4,27.1,4.14
109,Small,Consultant,High,10.0,6.6,11.2,20.2,3.02
110,Small,Consultant,Low,12.8,18.8,14.8,11.3,3.71
111,Small,Developer,High,30.7,25.9,17.7,22.5,3.1
112,Small,Manager,Moderate,13.4,14.0,3.5,23.8,4.69
113,Large,Data Analyst,Low,5.2,11.6,4.8,8.8,2.86
114,Large,Developer,Low,15.3,11.9,14.2,24.1,3.64
115,Medium,Data Analyst,None,16.4,6.7,18.7,19.5,3.83
116,Large,Executive,None,15.3,27.4,20.5,28.6,3.88
117,Large,Data Analyst,Moderate,21.4,15.7,6.5,9.0,3.19
118,Small,Manager,Moderate,15.6,14.9,19.8,9.5,2.97
119,Large,Executive,Low,21.1,3.1,14.5,0.0,3.2
120,Medium,Data Analyst,High,8.8,8.0,10.7,16.0,3.97
121,Large,Executive,Moderate,29.2,28.3,12.1,14.6,3.5
122,Large,Data Analyst,None,17.0,20.1,20.8,8.1,4.16
123,Medium,Manager,High,18.2,26.2,17.6,11.4,3.93
124,Small,Data Analyst,High,8.7,25.3,16.3,2.8,2.01
125,Small,Data Analyst,High,18.8,11.0,17.5,20.4,3.77
126,Medium,Data Analyst,None,20.2,35.0,21.6,8.6,5.0
127,Large,Developer,Moderate,5.6,31.6,15.4,33.7,4.53
128,Large,Developer,Moderate,1.7,14.1,16.3,10.8,3.9
129,Small,Developer,Moderate,17.3,0.0,22.8,6.7,2.86
130,Medium,Manager,High,11.1,15.5,14.0,9.1,3.93
131,Medium,Executive,Moderate,17.1,19.7,19.7,2.1,4.12
132,Small,Consultant,High,4.7,14.0,13.0,15.4,3.42
133,Small,Data Analyst,High,2.5,16.4,13.5,9.1,3.82
134,Medium,Data Analyst,High,16.7,12.2,15.4,19.9,4.66
135,Large,Manager,Low,12.2,24.5,19.1,10.1,3.0
136,Medium,Data Analyst,Low,0.0,18.4,23.2,21.7,2.86
137,Medium,Developer,Low,25.7,24.7,16.6,17.3,4.08
138,Large,Consultant,High,4.5,26.6,7.0,12.2,3.92
139,Medium,IT Support,None,35.6,2.8,19.8,23.1,4.32
140,Large,Data Analyst,Moderate,10.0,12.6,30.7,18.7,4.0
141,Large,Developer,Low,18.2,13.6,16.7,32.6,3.2
142,Small,IT Support,Moderate,28.2,36.0,5.7,9.1,3.9
143,Medium,Consultant,High,26.8,19.0,17.0,12.5,2.8
144,Medium,IT Support,High,30.9,23.7,16.0,23.0,3.42
145,Small,Developer,Low,2.8,4.8,15.5,1.2,3.95
146,Small,Executive,High,5.9,19.0,21.7,21.2,3.35
147,Medium,Executive,Moderate,16.8,24.8,24.3,15.1,5.0
148,Medium,IT Support,Low,21.7,24.0,20.1,5.8,2.28
149,Small,Manager,Moderate,14.9,22.4,15.2,2.5,3.22
150,Small,IT Support,Low,1.9,18.1,22.8,7.3,2.94
151,Large,Data Analyst,Low,19.0,18.4,7.0,0.0,3.11
152,Small,Data Analyst,Moderate,13.4,6.1,11.7,8.6,3.15
153,Small,Executive,Low,13.4,11.7,12.4,16.4,2.67
154,Medium,Manager,Low,0.0,19.6,15.8,8.7,4.13
155,Large,Developer,Low,21.4,13.0,19.0,21.7,3.22
156,Small,Data Analyst,Low,16.2,22.8,14.8,23.6,3.71
157,Medium,Executive,Low,29.4,21.3,10.6,20.9,3.3
158,Large,Consultant,Moderate,14.4,27.6,21.8,13.6,3.12
159,Small,Executive,Moderate,19.5,24.7,14.6,0.0,4.77
160,Large,Data Analyst,Moderate,21.7,19.6,16.6,7.1,4.25
161,Medium,Data Analyst,High,1.0,23.2,19.3,11.0,2.29
162,Medium,Executive,Moderate,35.9,25.0,16.2,5.7,2.22
163,Medium,Developer,Moderate,11.6,14.4,16.3,11.0,4.33
164,Medium,IT Support,Low,19.0,15.7,22.2,23.3,3.24
165,Small,Data Analyst,Low,20.1,17.3,16.9,0.5,2.45
166,Large,Executive,Low,8.5,14.7,21.2,24.7,4.33
167,Medium,Executive,None,29.8,25.1,19.3,18.2,3.72
168,Small,Manager,Moderate,17.1,13.6,28.1,13.9,3.78
169,Small,IT Support,Low,13.3,26.8,18.5,7.0,4.17
170,Medium,Consultant,High,16.1,15.4,19.8,5.9,2.68
171,Medium,Developer,High,21.1,21.3,22.6,0.6,2.46
172,Small,Consultant,Moderate,15.1,19.2,16.4,24.0,4.71
173,Medium,IT Support,Low,22.1,11.2,12.2,22.8,2.59
174,Small,IT Support,None,1.5,17.9,13.2,2.2,2.74
175,Medium,IT Support,High,9.0,20.3,13.2,8.1,2.88
176,Small,Consultant,High,0.0,17.5,10.3,15.0,5.0
177,Medium,IT Support,Low,31.0,8.6,17.9,9.9,3.95
178,Medium,Executive,Moderate,30.9,29.9,12.2,0.0,4.28
179,Large,Consultant,None,20.0,18.6,17.2,7.4,3.74
